program_class,generation_time_sec,seed,test_name,coverage_vector,run
LongestIncreasingSubsequence,120,101,com.viktor.lab4.autogen.RegressionTest0#test0184,"1,1,0,1,1,1,1,1,1,1,1,1,1,1,1",1
LongestIncreasingSubsequence,120,101,com.viktor.lab4.autogen.RegressionTest0#test0181,"1,1,0,1,1,1,1,1,1,1,1,1,1,1,1",1
LongestIncreasingSubsequence,120,101,com.viktor.lab4.autogen.RegressionTest0#test0182,"1,1,0,1,1,1,1,1,1,1,1,1,1,1,1",1
LongestIncreasingSubsequence,120,101,com.viktor.lab4.autogen.RegressionTest0#test0188,"1,1,0,1,1,1,1,1,1,1,1,1,1,1,1",1
LongestIncreasingSubsequence,120,101,com.viktor.lab4.autogen.RegressionTest0#test0186,"1,1,0,1,1,1,1,1,1,1,1,1,1,1,1",1
LongestIncreasingSubsequence,120,101,com.viktor.lab4.autogen.RegressionTest0#test0185,"1,1,0,1,1,1,1,1,1,1,1,1,1,1,1",1
LongestIncreasingSubsequence,120,101,com.viktor.lab4.autogen.RegressionTest0#test0190,"1,1,0,1,1,1,1,1,1,1,1,1,1,1,1",1
LongestIncreasingSubsequence,120,101,com.viktor.lab4.autogen.RegressionTest0#test0187,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1",1
LongestIncreasingSubsequence,120,101,com.viktor.lab4.autogen.RegressionTest0#test0189,"1,1,0,1,1,1,1,1,1,1,1,1,1,1,1",1
LongestIncreasingSubsequence,120,101,com.viktor.lab4.autogen.RegressionTest0#test0193,"1,1,0,1,1,1,1,1,1,1,1,1,1,1,1",1
LongestIncreasingSubsequence,120,101,com.viktor.lab4.autogen.RegressionTest0#test0192,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1",1
LongestIncreasingSubsequence,120,101,com.viktor.lab4.autogen.RegressionTest0#test0195,"1,1,0,1,1,1,1,1,1,1,1,1,1,1,1",1
LongestIncreasingSubsequence,120,101,com.viktor.lab4.autogen.RegressionTest0#test0191,"1,1,0,1,1,1,1,1,1,1,1,1,1,1,1",1
LongestIncreasingSubsequence,120,101,com.viktor.lab4.autogen.RegressionTest0#test0197,"1,1,0,1,1,1,1,1,1,1,1,1,1,1,1",1
LongestIncreasingSubsequence,120,101,com.viktor.lab4.autogen.RegressionTest0#test0196,"1,1,0,1,1,1,1,1,1,1,1,1,1,1,1",1
LongestIncreasingSubsequence,120,101,com.viktor.lab4.autogen.RegressionTest0#test0194,"1,1,0,1,1,1,1,1,1,1,1,1,1,1,1",1
LongestIncreasingSubsequence,120,101,com.viktor.lab4.autogen.RegressionTest0#test0198,"1,1,0,1,1,1,1,1,1,1,1,1,1,1,1",1
LongestIncreasingSubsequence,120,101,com.viktor.lab4.autogen.RegressionTest0#test0200,"1,1,0,1,1,1,1,1,1,1,1,1,1,1,1",1
LongestIncreasingSubsequence,120,101,com.viktor.lab4.autogen.RegressionTest0#test0199,"1,1,0,1,1,1,1,1,1,1,1,1,1,1,1",1
LongestIncreasingSubsequence,120,101,com.viktor.lab4.autogen.RegressionTest0#test0203,"1,1,0,1,1,1,1,1,1,1,1,1,1,1,1",1
LongestIncreasingSubsequence,120,101,com.viktor.lab4.autogen.RegressionTest0#test0204,"1,1,0,1,1,1,1,1,1,1,1,1,1,1,1",1
LongestIncreasingSubsequence,120,101,com.viktor.lab4.autogen.RegressionTest0#test0202,"1,1,0,1,1,1,1,1,1,1,1,1,1,1,1",1
LongestIncreasingSubsequence,120,101,com.viktor.lab4.autogen.RegressionTest0#test0201,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1",1
LongestIncreasingSubsequence,120,101,com.viktor.lab4.autogen.RegressionTest0#test0206,"1,1,0,1,1,1,1,1,1,1,1,1,1,1,1",1
LongestIncreasingSubsequence,120,101,com.viktor.lab4.autogen.RegressionTest0#test0205,"1,1,0,1,1,1,1,1,1,1,1,1,1,1,1",1
LongestIncreasingSubsequence,120,101,com.viktor.lab4.autogen.RegressionTest0#test0209,"1,1,0,1,1,1,1,1,1,1,1,1,1,1,1",1
LongestIncreasingSubsequence,120,101,com.viktor.lab4.autogen.RegressionTest0#test0207,"1,1,0,1,1,1,1,1,1,1,1,1,1,1,1",1
LongestIncreasingSubsequence,120,101,com.viktor.lab4.autogen.RegressionTest0#test0210,"1,1,0,1,1,1,1,1,1,1,1,1,1,1,1",1
LongestIncreasingSubsequence,120,101,com.viktor.lab4.autogen.RegressionTest0#test0208,"1,1,0,1,1,1,1,1,1,1,1,1,1,1,1",1
LongestIncreasingSubsequence,120,101,com.viktor.lab4.autogen.RegressionTest0#test0211,"1,1,0,1,1,1,1,1,1,1,1,1,1,1,1",1
LongestIncreasingSubsequence,120,101,com.viktor.lab4.autogen.RegressionTest0#test0212,"1,1,0,1,1,1,1,1,1,1,1,1,1,1,1",1
LongestIncreasingSubsequence,120,101,com.viktor.lab4.autogen.RegressionTest0#test0214,"1,1,0,1,1,1,1,1,1,1,1,1,1,1,1",1
LongestIncreasingSubsequence,120,101,com.viktor.lab4.autogen.RegressionTest0#test0213,"1,1,0,1,1,1,1,1,1,1,1,1,1,1,1",1
LongestIncreasingSubsequence,120,101,com.viktor.lab4.autogen.RegressionTest0#test0215,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1",1
LongestIncreasingSubsequence,120,101,com.viktor.lab4.autogen.RegressionTest0#test0216,"1,1,0,1,1,1,1,1,1,1,1,1,1,1,1",1
LongestIncreasingSubsequence,120,101,com.viktor.lab4.autogen.RegressionTest0#test0218,"1,1,0,1,1,1,1,1,1,1,1,1,1,1,1",1
LongestIncreasingSubsequence,120,101,com.viktor.lab4.autogen.RegressionTest0#test0219,"1,1,0,1,1,1,1,1,1,1,1,1,1,1,1",1
LongestIncreasingSubsequence,120,101,com.viktor.lab4.autogen.RegressionTest0#test0220,"1,1,0,1,1,1,1,1,1,1,1,1,1,1,1",1
LongestIncreasingSubsequence,120,101,com.viktor.lab4.autogen.RegressionTest0#test0217,"1,1,0,1,1,1,1,1,1,1,1,1,1,1,1",1
LongestIncreasingSubsequence,120,101,com.viktor.lab4.autogen.RegressionTest0#test0221,"1,1,0,1,1,1,1,1,1,1,1,1,1,1,1",1
LongestIncreasingSubsequence,120,101,com.viktor.lab4.autogen.RegressionTest0#test0222,"1,1,0,1,1,1,1,1,1,1,1,1,1,1,1",1
LongestIncreasingSubsequence,120,101,com.viktor.lab4.autogen.RegressionTest0#test0223,"1,1,0,1,1,1,1,1,1,1,1,1,1,1,1",1
LongestIncreasingSubsequence,120,101,com.viktor.lab4.autogen.RegressionTest0#test0224,"1,1,0,1,1,1,1,1,1,1,1,1,1,1,1",1
LongestIncreasingSubsequence,120,101,com.viktor.lab4.autogen.RegressionTest0#test0225,"1,1,0,1,1,1,1,1,1,1,1,1,1,1,1",1
LongestIncreasingSubsequence,120,101,com.viktor.lab4.autogen.RegressionTest0#test0227,"1,1,0,1,1,1,1,1,1,1,1,1,1,1,1",1
LongestIncreasingSubsequence,120,101,com.viktor.lab4.autogen.RegressionTest0#test0229,"1,1,0,1,1,0,0,0,0,0,0,0,0,0,0",1
LongestIncreasingSubsequence,120,101,com.viktor.lab4.autogen.RegressionTest0#test0226,"1,1,0,1,1,1,1,1,1,1,1,1,1,1,1",1
LongestIncreasingSubsequence,120,101,com.viktor.lab4.autogen.RegressionTest0#test0230,"1,1,0,1,1,0,0,0,0,0,0,0,0,0,0",1
LongestIncreasingSubsequence,120,101,com.viktor.lab4.autogen.RegressionTest0#test0228,"1,1,0,1,1,1,1,1,1,1,1,1,1,1,1",1
LongestIncreasingSubsequence,120,101,com.viktor.lab4.autogen.RegressionTest0#test0231,"1,1,0,1,1,1,1,1,1,1,1,1,1,1,1",1
LongestIncreasingSubsequence,120,101,com.viktor.lab4.autogen.RegressionTest0#test0235,"1,1,0,1,1,1,1,1,1,1,1,1,1,1,1",1
LongestIncreasingSubsequence,120,101,com.viktor.lab4.autogen.RegressionTest0#test0232,"1,1,0,1,1,1,1,1,1,1,1,1,1,1,1",1
LongestIncreasingSubsequence,120,101,com.viktor.lab4.autogen.RegressionTest0#test0236,"1,1,0,1,1,1,1,1,1,1,1,1,1,1,1",1
LongestIncreasingSubsequence,120,101,com.viktor.lab4.autogen.RegressionTest0#test0234,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1",1
LongestIncreasingSubsequence,120,101,com.viktor.lab4.autogen.RegressionTest0#test0233,"1,1,0,1,1,1,1,1,1,1,1,1,1,1,1",1
LongestIncreasingSubsequence,120,101,com.viktor.lab4.autogen.RegressionTest0#test0237,"1,1,0,1,1,1,1,1,1,1,1,1,1,1,1",1
LongestIncreasingSubsequence,120,101,com.viktor.lab4.autogen.RegressionTest0#test0239,"1,1,0,1,1,1,1,1,1,1,1,1,1,1,1",1
LongestIncreasingSubsequence,120,101,com.viktor.lab4.autogen.RegressionTest0#test0238,"1,1,0,1,1,1,1,1,1,1,1,1,1,1,1",1
LongestIncreasingSubsequence,120,101,com.viktor.lab4.autogen.RegressionTest0#test0240,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1",1
LongestIncreasingSubsequence,120,101,com.viktor.lab4.autogen.RegressionTest0#test0242,"1,1,0,1,1,1,1,1,1,1,1,1,1,1,1",1
LongestIncreasingSubsequence,120,101,com.viktor.lab4.autogen.RegressionTest0#test0243,"1,1,0,1,1,1,1,1,1,1,1,1,1,1,1",1
LongestIncreasingSubsequence,120,101,com.viktor.lab4.autogen.RegressionTest0#test0244,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1",1
LongestIncreasingSubsequence,120,101,com.viktor.lab4.autogen.RegressionTest0#test0241,"1,1,0,1,1,1,1,1,1,1,1,1,1,1,1",1
LongestIncreasingSubsequence,120,101,com.viktor.lab4.autogen.RegressionTest0#test0245,"1,1,0,1,1,1,1,1,1,1,1,1,1,1,1",1
LongestIncreasingSubsequence,120,101,com.viktor.lab4.autogen.RegressionTest0#test0247,"1,1,0,1,1,1,1,1,1,1,1,1,1,1,1",1
LongestIncreasingSubsequence,120,101,com.viktor.lab4.autogen.RegressionTest0#test0246,"1,1,0,1,1,1,1,1,1,1,1,1,1,1,1",1
LongestIncreasingSubsequence,120,101,com.viktor.lab4.autogen.RegressionTest0#test0249,"1,1,0,1,1,1,1,1,1,1,1,1,1,1,1",1
LongestIncreasingSubsequence,120,101,com.viktor.lab4.autogen.RegressionTest0#test0248,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1",1
LongestIncreasingSubsequence,120,101,com.viktor.lab4.autogen.RegressionTest0#test0250,"1,1,0,1,1,1,1,1,1,1,1,1,1,1,1",1
LongestIncreasingSubsequence,120,101,com.viktor.lab4.autogen.RegressionTest0#test0253,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1",1
LongestIncreasingSubsequence,120,101,com.viktor.lab4.autogen.RegressionTest0#test0251,"1,1,0,1,1,1,1,1,1,1,1,1,1,1,1",1
LongestIncreasingSubsequence,120,101,com.viktor.lab4.autogen.RegressionTest0#test0252,"1,1,0,1,1,1,1,1,1,1,1,1,1,1,1",1
LongestIncreasingSubsequence,120,101,com.viktor.lab4.autogen.RegressionTest0#test0257,"1,1,0,1,1,1,1,1,1,1,1,1,1,1,1",1
LongestIncreasingSubsequence,120,101,com.viktor.lab4.autogen.RegressionTest0#test0254,"1,1,0,1,1,1,1,1,1,1,1,1,1,1,1",1
LongestIncreasingSubsequence,120,101,com.viktor.lab4.autogen.RegressionTest0#test0255,"1,1,0,1,1,1,1,1,1,1,1,1,1,1,1",1
LongestIncreasingSubsequence,120,101,com.viktor.lab4.autogen.RegressionTest0#test0258,"1,1,0,1,1,1,1,1,1,1,1,1,1,1,1",1
LongestIncreasingSubsequence,120,101,com.viktor.lab4.autogen.RegressionTest0#test0259,"1,1,0,1,1,1,1,1,1,1,1,1,1,1,1",1
LongestIncreasingSubsequence,120,101,com.viktor.lab4.autogen.RegressionTest0#test0256,"1,1,0,1,1,1,1,1,1,1,1,1,1,1,1",1
LongestIncreasingSubsequence,120,101,com.viktor.lab4.autogen.RegressionTest0#test0260,"1,1,0,1,1,1,1,1,1,1,1,1,1,1,1",1
LongestIncreasingSubsequence,120,101,com.viktor.lab4.autogen.RegressionTest0#test0261,"1,1,0,1,1,1,1,1,1,1,1,1,1,1,1",1
LongestIncreasingSubsequence,120,101,com.viktor.lab4.autogen.RegressionTest0#test0262,"1,1,0,1,1,1,1,1,1,1,1,1,1,1,1",1
LongestIncreasingSubsequence,120,101,com.viktor.lab4.autogen.RegressionTest0#test0263,"1,1,0,1,1,1,1,1,1,1,1,1,1,1,1",1
LongestIncreasingSubsequence,120,101,com.viktor.lab4.autogen.RegressionTest0#test0264,"1,1,0,1,1,1,1,1,1,1,1,1,1,1,1",1
LongestIncreasingSubsequence,120,101,com.viktor.lab4.autogen.RegressionTest0#test0265,"1,1,0,1,1,0,0,0,0,0,0,0,0,0,0",1
LongestIncreasingSubsequence,120,101,com.viktor.lab4.autogen.RegressionTest0#test0269,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1",1
LongestIncreasingSubsequence,120,101,com.viktor.lab4.autogen.RegressionTest0#test0267,"1,1,0,1,1,1,1,1,1,1,1,1,1,1,1",1
LongestIncreasingSubsequence,120,101,com.viktor.lab4.autogen.RegressionTest0#test0268,"1,1,0,1,1,1,1,1,1,1,1,1,1,1,1",1
LongestIncreasingSubsequence,120,101,com.viktor.lab4.autogen.RegressionTest0#test0266,"1,1,0,1,1,1,1,1,1,1,1,1,1,1,1",1
LongestIncreasingSubsequence,120,101,com.viktor.lab4.autogen.RegressionTest0#test0270,"1,1,0,1,1,1,1,1,1,1,1,1,1,1,1",1
LongestIncreasingSubsequence,120,101,com.viktor.lab4.autogen.RegressionTest0#test0272,"1,1,0,1,1,1,1,1,1,1,1,1,1,1,1",1
LongestIncreasingSubsequence,120,101,com.viktor.lab4.autogen.RegressionTest0#test0273,"1,1,0,1,1,1,1,1,1,1,1,1,1,1,1",1
LongestIncreasingSubsequence,120,101,com.viktor.lab4.autogen.RegressionTest0#test0274,"1,1,0,1,1,1,1,1,1,1,1,1,1,1,1",1
LongestIncreasingSubsequence,120,101,com.viktor.lab4.autogen.RegressionTest0#test0271,"1,1,0,1,1,1,1,1,1,1,1,1,1,1,1",1
LongestIncreasingSubsequence,120,101,com.viktor.lab4.autogen.RegressionTest0#test0276,"1,1,0,1,1,1,1,1,1,1,1,1,1,1,1",1
LongestIncreasingSubsequence,120,101,com.viktor.lab4.autogen.RegressionTest0#test0275,"1,1,0,1,1,1,1,1,1,1,1,1,1,1,1",1
LongestIncreasingSubsequence,120,101,com.viktor.lab4.autogen.RegressionTest0#test0277,"1,1,0,1,1,1,1,1,1,1,1,1,1,1,1",1
LongestIncreasingSubsequence,120,101,com.viktor.lab4.autogen.RegressionTest0#test0278,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1",1
LongestIncreasingSubsequence,120,101,com.viktor.lab4.autogen.RegressionTest0#test0279,"1,1,0,1,1,1,1,1,1,1,1,1,1,1,1",1
LongestIncreasingSubsequence,120,101,com.viktor.lab4.autogen.RegressionTest0#test0280,"1,1,0,1,1,1,1,1,1,1,1,1,1,1,1",1
LongestIncreasingSubsequence,120,101,com.viktor.lab4.autogen.RegressionTest0#test0281,"1,1,0,1,1,1,1,1,1,1,1,1,1,1,1",1
LongestIncreasingSubsequence,120,101,com.viktor.lab4.autogen.RegressionTest0#test0284,"1,1,0,1,1,1,1,1,1,1,1,1,1,1,1",1
LongestIncreasingSubsequence,120,101,com.viktor.lab4.autogen.RegressionTest0#test0285,"1,1,0,1,1,1,1,1,1,1,1,1,1,1,1",1
LongestIncreasingSubsequence,120,101,com.viktor.lab4.autogen.RegressionTest0#test0283,"1,1,0,1,1,1,1,1,1,1,1,1,1,1,1",1
LongestIncreasingSubsequence,120,101,com.viktor.lab4.autogen.RegressionTest0#test0282,"1,1,0,1,1,0,0,0,0,0,0,0,0,0,0",1
LongestIncreasingSubsequence,120,101,com.viktor.lab4.autogen.RegressionTest0#test0287,"1,1,0,1,1,1,1,1,1,1,1,1,1,1,1",1
LongestIncreasingSubsequence,120,101,com.viktor.lab4.autogen.RegressionTest0#test0288,"1,1,0,1,1,1,1,1,1,1,1,1,1,1,1",1
LongestIncreasingSubsequence,120,101,com.viktor.lab4.autogen.RegressionTest0#test0289,"1,1,0,1,1,1,1,1,1,1,1,1,1,1,1",1
LongestIncreasingSubsequence,120,101,com.viktor.lab4.autogen.RegressionTest0#test0286,"1,1,0,1,1,1,1,1,1,1,1,1,1,1,1",1
LongestIncreasingSubsequence,120,101,com.viktor.lab4.autogen.RegressionTest0#test0290,"1,1,0,1,1,1,1,1,1,1,1,1,1,1,1",1
LongestIncreasingSubsequence,120,101,com.viktor.lab4.autogen.RegressionTest0#test0291,"1,1,0,1,1,1,1,1,1,1,1,1,1,1,1",1
LongestIncreasingSubsequence,120,101,com.viktor.lab4.autogen.RegressionTest0#test0294,"1,1,0,1,1,1,1,1,1,1,1,1,1,1,1",1
LongestIncreasingSubsequence,120,101,com.viktor.lab4.autogen.RegressionTest0#test0295,"1,1,0,1,1,1,1,1,1,1,1,1,1,1,1",1
LongestIncreasingSubsequence,120,101,com.viktor.lab4.autogen.RegressionTest0#test0293,"1,1,0,1,1,1,1,1,1,1,1,1,1,1,1",1
LongestIncreasingSubsequence,120,101,com.viktor.lab4.autogen.RegressionTest0#test0292,"1,1,0,1,1,1,1,1,1,1,1,1,1,1,1",1
LongestIncreasingSubsequence,120,101,com.viktor.lab4.autogen.RegressionTest0#test0296,"1,1,0,1,1,1,1,1,1,1,1,1,1,1,1",1
LongestIncreasingSubsequence,120,101,com.viktor.lab4.autogen.RegressionTest0#test0298,"1,1,0,1,1,1,1,1,1,1,1,1,1,1,1",1
LongestIncreasingSubsequence,120,101,com.viktor.lab4.autogen.RegressionTest0#test0297,"1,1,0,1,1,1,1,1,1,1,1,1,1,1,1",1
LongestIncreasingSubsequence,120,101,com.viktor.lab4.autogen.RegressionTest0#test0299,"1,1,0,1,1,1,1,1,1,1,1,1,1,1,1",1
LongestIncreasingSubsequence,120,101,com.viktor.lab4.autogen.RegressionTest0#test0300,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1",1
LongestIncreasingSubsequence,120,101,com.viktor.lab4.autogen.RegressionTest0#test0303,"1,1,0,1,1,1,1,1,1,1,1,1,1,1,1",1
LongestIncreasingSubsequence,120,101,com.viktor.lab4.autogen.RegressionTest0#test0302,"1,1,0,1,1,1,1,1,1,1,1,1,1,1,1",1
LongestIncreasingSubsequence,120,101,com.viktor.lab4.autogen.RegressionTest0#test0304,"1,1,0,1,1,1,1,1,1,1,1,1,1,1,1",1
LongestIncreasingSubsequence,120,101,com.viktor.lab4.autogen.RegressionTest0#test0305,"1,1,0,1,1,1,1,1,1,1,1,1,1,1,1",1
LongestIncreasingSubsequence,120,101,com.viktor.lab4.autogen.RegressionTest0#test0306,"1,1,0,1,1,1,1,1,1,1,1,1,1,1,1",1
LongestIncreasingSubsequence,120,101,com.viktor.lab4.autogen.RegressionTest0#test0301,"1,1,0,1,1,1,1,1,1,1,1,1,1,1,1",1
LongestIncreasingSubsequence,120,101,com.viktor.lab4.autogen.RegressionTest0#test0307,"1,1,0,1,1,1,1,1,1,1,1,1,1,1,1",1
LongestIncreasingSubsequence,120,101,com.viktor.lab4.autogen.RegressionTest0#test0308,"1,1,0,1,1,1,1,1,1,1,1,1,1,1,1",1
LongestIncreasingSubsequence,120,101,com.viktor.lab4.autogen.RegressionTest0#test0309,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1",1
LongestIncreasingSubsequence,120,101,com.viktor.lab4.autogen.RegressionTest0#test0310,"1,1,0,1,1,1,1,1,1,1,1,1,1,1,1",1
LongestIncreasingSubsequence,120,101,com.viktor.lab4.autogen.RegressionTest0#test0312,"1,1,0,1,1,1,1,1,1,1,1,1,1,1,1",1
LongestIncreasingSubsequence,120,101,com.viktor.lab4.autogen.RegressionTest0#test0311,"1,1,0,1,1,1,1,1,1,1,1,1,1,1,1",1
LongestIncreasingSubsequence,120,101,com.viktor.lab4.autogen.RegressionTest0#test0314,"1,1,0,1,1,1,1,1,1,1,1,1,1,1,1",1
LongestIncreasingSubsequence,120,101,com.viktor.lab4.autogen.RegressionTest0#test0313,"1,1,0,1,1,1,1,1,1,1,1,1,1,1,1",1
LongestIncreasingSubsequence,120,101,com.viktor.lab4.autogen.RegressionTest0#test0317,"1,1,0,1,1,1,1,1,1,1,1,1,1,1,1",1
LongestIncreasingSubsequence,120,101,com.viktor.lab4.autogen.RegressionTest0#test0316,"1,1,0,1,1,1,1,1,1,1,1,1,1,1,1",1
LongestIncreasingSubsequence,120,101,com.viktor.lab4.autogen.RegressionTest0#test0315,"1,1,0,1,1,1,1,1,1,1,1,1,1,1,1",1
LongestIncreasingSubsequence,120,101,com.viktor.lab4.autogen.RegressionTest0#test0318,"1,1,0,1,1,0,0,0,0,0,0,0,0,0,0",1
LongestIncreasingSubsequence,120,101,com.viktor.lab4.autogen.RegressionTest0#test0319,"1,1,0,1,1,1,1,1,1,1,1,1,1,1,1",1
LongestIncreasingSubsequence,120,101,com.viktor.lab4.autogen.RegressionTest0#test0320,"1,1,0,1,1,1,1,1,1,1,1,1,1,1,1",1
LongestIncreasingSubsequence,120,101,com.viktor.lab4.autogen.RegressionTest0#test0322,"1,1,0,1,1,1,1,1,1,1,1,1,1,1,1",1
LongestIncreasingSubsequence,120,101,com.viktor.lab4.autogen.RegressionTest0#test0321,"1,1,0,1,1,1,1,1,1,1,1,1,1,1,1",1
LongestIncreasingSubsequence,120,101,com.viktor.lab4.autogen.RegressionTest0#test0324,"1,1,0,1,1,1,1,1,1,1,1,1,1,1,1",1
LongestIncreasingSubsequence,120,101,com.viktor.lab4.autogen.RegressionTest0#test0326,"1,1,0,1,1,1,1,1,1,1,1,1,1,1,1",1
LongestIncreasingSubsequence,120,101,com.viktor.lab4.autogen.RegressionTest0#test0327,"1,1,0,1,1,1,1,1,1,1,1,1,1,1,1",1
LongestIncreasingSubsequence,120,101,com.viktor.lab4.autogen.RegressionTest0#test0325,"1,1,0,1,1,1,1,1,1,1,1,1,1,1,1",1
LongestIncreasingSubsequence,120,101,com.viktor.lab4.autogen.RegressionTest0#test0323,"1,1,0,1,1,1,1,1,1,1,1,1,1,1,1",1
LongestIncreasingSubsequence,120,101,com.viktor.lab4.autogen.RegressionTest0#test0328,"1,1,0,1,1,1,1,1,1,1,1,1,1,1,1",1
LongestIncreasingSubsequence,120,101,com.viktor.lab4.autogen.RegressionTest0#test0329,"1,1,0,1,1,1,1,1,1,1,1,1,1,1,1",1
LongestIncreasingSubsequence,120,101,com.viktor.lab4.autogen.RegressionTest0#test0330,"1,1,0,1,1,1,1,1,1,1,1,1,1,1,1",1
LongestIncreasingSubsequence,120,101,com.viktor.lab4.autogen.RegressionTest0#test0333,"1,1,0,1,1,1,1,1,1,1,1,1,1,1,1",1
LongestIncreasingSubsequence,120,101,com.viktor.lab4.autogen.RegressionTest0#test0332,"1,1,0,1,1,1,1,1,1,1,1,1,1,1,1",1
LongestIncreasingSubsequence,120,101,com.viktor.lab4.autogen.RegressionTest0#test0335,"1,1,0,1,1,1,1,1,1,1,1,1,1,1,1",1
LongestIncreasingSubsequence,120,101,com.viktor.lab4.autogen.RegressionTest0#test0331,"1,1,0,1,1,1,1,1,1,1,1,1,1,1,1",1
LongestIncreasingSubsequence,120,101,com.viktor.lab4.autogen.RegressionTest0#test0338,"1,1,0,1,1,1,1,1,1,1,1,1,1,1,1",1
LongestIncreasingSubsequence,120,101,com.viktor.lab4.autogen.RegressionTest0#test0334,"1,1,0,1,1,1,1,1,1,1,1,1,1,1,1",1
LongestIncreasingSubsequence,120,101,com.viktor.lab4.autogen.RegressionTest0#test0339,"1,1,0,1,1,1,1,1,1,1,1,1,1,1,1",1
LongestIncreasingSubsequence,120,101,com.viktor.lab4.autogen.RegressionTest0#test0337,"1,1,0,1,1,1,1,1,1,1,1,1,1,1,1",1
LongestIncreasingSubsequence,120,101,com.viktor.lab4.autogen.RegressionTest0#test0336,"1,1,0,1,1,1,1,1,1,1,1,1,1,1,1",1
LongestIncreasingSubsequence,120,101,com.viktor.lab4.autogen.RegressionTest0#test0340,"1,1,0,1,1,1,1,1,1,1,1,1,1,1,1",1
LongestIncreasingSubsequence,120,101,com.viktor.lab4.autogen.RegressionTest0#test0341,"1,1,0,1,1,1,1,1,1,1,1,1,1,1,1",1
LongestIncreasingSubsequence,120,101,com.viktor.lab4.autogen.RegressionTest0#test0342,"1,1,0,1,1,1,1,1,1,1,1,1,1,1,1",1
LongestIncreasingSubsequence,120,101,com.viktor.lab4.autogen.RegressionTest0#test0343,"1,1,0,1,1,1,1,1,1,1,1,1,1,1,1",1
LongestIncreasingSubsequence,120,101,com.viktor.lab4.autogen.RegressionTest0#test0348,"1,1,0,1,1,1,1,1,1,1,1,1,1,1,1",1
LongestIncreasingSubsequence,120,101,com.viktor.lab4.autogen.RegressionTest0#test0345,"1,1,0,1,1,1,1,1,1,1,1,1,1,1,1",1
LongestIncreasingSubsequence,120,101,com.viktor.lab4.autogen.RegressionTest0#test0346,"1,1,1,1,1,0,0,0,0,0,0,0,0,0,0",1
LongestIncreasingSubsequence,120,101,com.viktor.lab4.autogen.RegressionTest0#test0349,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1",1
LongestIncreasingSubsequence,120,101,com.viktor.lab4.autogen.RegressionTest0#test0347,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1",1
LongestIncreasingSubsequence,120,101,com.viktor.lab4.autogen.RegressionTest0#test0344,"1,1,0,1,1,1,1,1,1,1,1,1,1,1,1",1
LongestIncreasingSubsequence,120,101,com.viktor.lab4.autogen.RegressionTest0#test0350,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1",1
LongestIncreasingSubsequence,120,101,com.viktor.lab4.autogen.RegressionTest0#test0351,"1,1,0,1,1,1,1,1,1,1,1,1,1,1,1",1
LongestIncreasingSubsequence,120,101,com.viktor.lab4.autogen.RegressionTest0#test0353,"1,1,0,1,1,1,1,1,1,1,1,1,1,1,1",1
LongestIncreasingSubsequence,120,101,com.viktor.lab4.autogen.RegressionTest0#test0352,"1,1,0,1,1,1,1,1,1,1,1,1,1,1,1",1
LongestIncreasingSubsequence,120,101,com.viktor.lab4.autogen.RegressionTest0#test0354,"1,1,0,1,1,1,1,1,1,1,1,1,1,1,1",1
LongestIncreasingSubsequence,120,101,com.viktor.lab4.autogen.RegressionTest0#test0357,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1",1
LongestIncreasingSubsequence,120,101,com.viktor.lab4.autogen.RegressionTest0#test0359,"1,1,0,1,1,1,1,1,1,1,1,1,1,1,1",1
LongestIncreasingSubsequence,120,101,com.viktor.lab4.autogen.RegressionTest0#test0355,"1,1,0,1,1,1,1,1,1,1,1,1,1,1,1",1
LongestIncreasingSubsequence,120,101,com.viktor.lab4.autogen.RegressionTest0#test0358,"1,1,0,1,1,1,1,1,1,1,1,1,1,1,1",1
LongestIncreasingSubsequence,120,101,com.viktor.lab4.autogen.RegressionTest0#test0356,"1,1,0,1,1,1,1,1,1,1,1,1,1,1,1",1
LongestIncreasingSubsequence,120,101,com.viktor.lab4.autogen.RegressionTest0#test0360,"1,1,0,1,1,1,1,1,1,1,1,1,1,1,1",1
LongestIncreasingSubsequence,120,101,com.viktor.lab4.autogen.RegressionTest0#test0363,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1",1
LongestIncreasingSubsequence,120,101,com.viktor.lab4.autogen.RegressionTest0#test0365,"1,1,0,1,1,1,1,1,1,1,1,1,1,1,1",1
